Component,Quantity Per PCB,References,Value,MPN1,MPN2,Footprint,Population
1,5,C33 C34 C35 C36 C37,.01 uF,CC0805KRX7R9BB103,,C_0805_2012Metric,
2,17,C3 C4 C6 C8 C10 C11 C15 C17 C22 C23 C24 C26 C28 C29 C30 C31 C32,100 nF,CC0805KRX7R7BB104,,C_0805_2012Metric,
3,1,C13,220 nF,C2012X5R1H224K125AA,,C_0805_2012Metric,
4,3,C14 C19 C20,1 uF,C0805C105K4RACTU,,C_0805_2012Metric,
5,4,C2 C5 C9 C12,4.7 uF,C2012X5R1H475K125AB,,C_0805_2012Metric,
6,1,C1,10 uF,C2012X5R1V106K085AC,,C_0805_2012Metric,
7,2,C25 C27,10 uF,EEE-HP0J100R,,CP_Elec_5x5.8,
8,3,C16 C18 C21,47 uF,GRM32ER61C476KE15L,,C_1210_3225Metric,
9,1,C7,470 uF,UVK1H471MPD,,CP_Radial_Cutout_L20.0mm_D10.0mm_P5.00mm,
10,1,D1,N/A,MBR230S1F-7,,D_SOD-123F,
11,1,D2,N/A,CD-MBL206SL,,Diode_Bridge_Bourns_CD-MBL2xxS,
12,1,D9,N/A,1N4148W,,D_SOD-123,
13,1,F1,300 mA,2920L030DR,,Fuse_2920_7451Metric,
14,1,J1,7.5 TO 40 V,694106301002,,BarrelJack_Horizontal,
15,1,J10,HVAC,1862039,,PhoenixContact_SPTAF_1_12-3.5-IL_1x12_P3.50mm_Vertical,
16,1,J2,N/A,105017-0001,,USB_Micro-B_Molex-105017-0001,
17,1,K1,G6E-134P-US DC5,G6E-134P-US DC5,,Relay_SPDT_Omron_G6E,
18,1,L1,15 uH,7447709150,MSS1210-153MEB,L_Wuerth_WE-PD-Typ-LS,
19,5,Q5 Q6 Q7 Q8 Q9,2N6073BG,2N6073BG,,TO-225-3_Vertical,
20,1,Q4,2N7002,2N7002,,SOT-23,
21,2,Q1 Q2,MMSS8050,MMSS8050,,SOT-23,
22,1,Q3,TEPT5700,TEPT5700,,LED_D5.0mm_Clear,
23,2,R12 R20,4.7,RC0805FR-074R7L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
24,5,R51 R52 R53 R54 R55,39,ERJ-P06J390V,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
25,1,R28,120,RT0805FRE07120RL,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
26,5,R40 R41 R42 R43 R44,180,RT0805FRE07180RL,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
27,5,R35 R36 R37 R38 R39,270,RT0805FRE07270RL,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
28,1,R29,560,RT0805FRE07560RL,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
29,5,R45 R46 R47 R48 R49,820,RT0805FRE07820RL,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
30,1,R9,1K2,RT0805FRE072K7L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
31,2,R31 R32,1K5,RT0805FRE071K5L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
32,1,R27,1K6,RT0805FRE071K6L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
33,3,R10 R33 R34,2K7,RT0805FRE072K7L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
34,2,R18 R21,3K3,RT0805FRE073K3L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
35,1,R4,4K7,RT0805FRE074K7L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
36,1,R23,5K,CRCW08055K00JNTA,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
37,1,R24,8K2,RT0805FRE078K2L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
38,16,R1 R2 R3 R5 R6 R7 R8 R11 R13 R14 R15 R22 R25 R26 R30 R50,10K,RC0805FR-0710KL,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
39,1,R17,24.9K,RT0805FRE0724K9L,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
40,2,R16 R19,100K,RC0805FR-07100KL,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
41,1,RV1,N/A,B72205S0400K101,,RV_Disc_D7mm_W4mm_P5mm,
42,1,SW3,MODE,PTS645VK582LFS,,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,
43,1,SW1,POWER,48BFSP1M6QT,,SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6,
44,1,SW2,RESET,PTS645VK582LFS,,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,
45,2,TH1 TH2,10K,NXFT15XH103FA2B100,,PinSocket_1x02_P2.54mm_Vertical,
46,1,U9,BME280,BME280,,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,
47,1,U7,BME680,BME680,,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,
48,1,U17,DHT22,DHT22,,PinSocket_1x04_P2.54mm_Vertical,
49,1,U1,ESP32-WROVER,ESP32-WROVER,,ESP32-WROVER,
50,1,U3,FT232RL,FT232RL,,SSOP-28_5.3x10.2mm_P0.65mm,
51,1,U8,LD1086DT33TR,LD1086DT33TR,,TO-252-2,
52,1,U5,LMR36520,LMR36520ADDAR,,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,
53,1,U2,MCP23017_SO,MCP23017-E/SO,,SOIC-28W_7.5x17.9mm_P1.27mm,
54,5,U12 U13 U14 U15 U16,MOC3043,MOC3043SM,,SMDIP-6_W9.53mm,
55,1,U6,SGP40,SGP40,,DFN-6-1EP_2.44x2.44mm_P0.8mm_EP1.25x1.7mm,
56,1,U10,SHTC3,SHTC3,,AMS_QFN-4-1EP_2x2mm_P0.95mm_EP0.7x1.6mm,
57,1,U11,TMP117,TMP117MAIDRVR,,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,
58,1,U4,TPS22917DBV,TPS22917DBV,,SOT-23-6,





Component Groups:,74
Component Count:,151
Fitted Components:,133
Number of PCBs:,1
Total components:,133
Schematic Version:,2
Schematic Date:,2020-08-14
PCB Variant:,udefault
BoM Date:,"Thursday, March 25, 2021 at 12:44:02 AM"
Schematic Source:,ClimateSprinklerController.sch
KiCad Version:,Eeschema (5.1.9-0-10_14)
